"Food","Portion_g","Usual_Score","Cost_USD_per_100g"
"Peas and carrots tinned",150,7,0.35
"Olives green in brine tinned/glass",30,7,0.80
"Beans runner tinned",150,5,0.40
"Beans French tinned",150,7,0.40
"Spinach tinned",150,3,0.35
"Tomato puree concentrated tinned",15,8,0.40
"Beans broad tinned",150,4,0.40
"Carrot tinned",150,5,0.30
"Silver-skin onion sweet pickled glass",30,7,0.60
"Cabbage red glass",150,8,0.35
"Spinach frozen boiled",200,8,0.40
"Apple wo skin av",150,9,0.25
"Strawberries",100,8,0.80
"Apricots w skin",100,6,0.60
"Pineapple",150,7,0.50
"Banana",120,9,0.20
"Blueberries",100,7,1.20
"Redcurrants",100,5,1.00
"Blackcurrants",100,4,1.00
"Bilberries",100,3,1.20
"Cowberries",100,2,1.50
"Blackberries",100,6,1.20
"Lemon",20,8,0.40
"Cranberries fresh",50,4,1.00
"Grapes w skin av",150,8,0.50
"Raspberries",100,7,1.50
"Grapefruit",150,5,0.35
"Cherries sweet",100,6,0.80
"Gooseberries",100,3,1.00
"Manderins",100,8,0.35
"Melon netted",150,7,0.40
"Cherries sour",100,4,0.80
"Pear wo skin",150,8,0.30
"Peach wo skin",150,7,0.45
"Plums w skin",100,6,0.40
"Orange",150,8,0.25
"Fruit fresh citrus av",150,8,0.30
"Fruit fresh av excl citrus",150,8,0.40
"Strawberries in syrup tinned",100,4,0.50
"Apricots dried",30,5,1.20
"Apricots in syrup tinned",100,5,0.50
"Pineapple in syrup tinned",100,6,0.45
"Apples dried",30,4,1.50
"Apple sauce tinned",150,8,0.30
"Bilberries in syrup tinned",100,2,0.80
"Dates dried",30,6,1.00
"Raspberries in syrup tinned",100,3,0.80
"Fruit cocktail in syrup tinned",100,5,0.50
"Cherries in syrup tinned",100,4,0.60
"Currants dried",30,6,0.80
"Tangerines in syrup tinned",100,5,0.50
"Pear dried",30,2,1.50
"Pears in syrup tinned",100,5,0.50
"Peaches in syrup tinned",100,6,0.45
"Prunes",30,5,1.00
"Plums in syrup tinned",100,3,0.50
"Fruit mixed dried",30,4,1.20
"Figs dried",30,5,1.20
"Fruit in syrup tinned",100,5,0.50
"Infant food fruit 8 months",150,1,1.50
"Peas marrowfat canned",150,5,0.35
"Beans white baked in tomato sauce canned",200,6,0.40
"Almonds blanched unsalted",30,7,1.80
"Cashew nuts unsalted",30,8,2.00
"Hazelnuts unsalted",30,7,2.00
"Chestnuts raw",50,2,1.50
"Coconut meat",30,4,1.00
"Brazil nuts unsalted",30,5,2.50
"Peanuts unsalted",30,8,0.80
"Mixed nuts and raisins",30,8,1.20
"Walnuts unsalted",30,7,2.00
"Nuts mixed unsalted",30,8,1.80
"Flour buckwheat",50,4,0.60
"Breakfast cereal Cornflakes Kellogg's",40,6,0.80
"Custard powder",20,5,0.60
"Barley pearl raw",50,2,0.40
"Oat flakes",40,8,0.30
"Corn starch",10,8,0.40
"Blancmange powder to cook pudding",25,5,0.80
"Flour rye",50,3,0.40
"Flour rye wholemeal",50,3,0.40
"Tapioca pearls dry",30,2,0.80
"Flour wheat white",50,8,0.20
"Flour wheat wholemeal",50,8,0.20
"Binding agents av",10,7,0.80
"Breakfast cereal porridge Olvarit fijne granen 6+ months",30,1,1.50
"Breakfast cereal whole grain for porridge",40,6,0.50
"Potato starch",10,6,0.40
"Crispbakes Dutch white",20,8,0.80
"Crackers cream",20,7,0.80
"Crispbread av",20,8,0.70
"Wheat bread roll white soft",50,8,0.50
"Wheat germ",15,4,1.00
"Danish pastry",70,6,1.50
"Wheat currant bread white",70,7,0.60
"Biscuit Liga Baby 6-12 months",15,1,1.50
"Biscuit Liga 12-36 months",15,1,1.50
"Wheat bread brown",70,9,0.35
"Crackers Matzes",20,4,1.00
"Cake Dutch spiced Ontbijtkoek",40,8,0.50
"Wheat bread white milk based",70,8,0.40
"Rye bread wholemeal",50,6,0.50
"Rye wheat bread brown",70,5,0.40
"Wheat raisin bread white",70,7,0.60
"Wheat bread wholemeal av fine and coarse",70,9,0.40
"Wheat bread white water based",70,8,0.35
"Wheat malt bread brown",70,7,0.45
"Puff pastry filled w almond paste",100,6,1.50
"Apple pie Dutch w shortbread wo butter",100,7,1.20
"Biscuit",20,8,0.80
"Cake wo butter",40,6,0.80
"Cake sponge Dutch Eierkoek",40,7,0.70
"Gateau w whipped cream",100,5,1.50
"Gateau w butter-cream filling",100,4,1.50
"Almond paste filled tarts av",50,6,1.20
"Biscuit av",20,8,0.80
"Coconut macaroons",30,6,1.00
"Biscuit sponge fingers",20,5,0.80
"Biscuit spiced Speculaas av",20,9,0.60
"Biscuit Dutch shortbread sprits",20,7,0.80
"Biscuit brown/wholemeal",20,7,0.80
"Biscuit salted",20,7,0.90
"Puff pastry wo butter baked",30,5,1.00
"Snack sausage roll puff pastry",80,8,1.00
"Pretzel sticks",30,7,0.80
"Prawn crackers natural",20,8,1.20
"Milk raw",200,2,0.20
"Coffee creamer Becel",10,6,0.80
"Milk chocolate-flavoured full fat",200,6,0.25
"Milk chocolate-flavoured low fat",200,8,0.25
"Coffee creamer powder",5,7,0.80
"Custard chocolate full fat",150,6,0.35
"Yoghurt full fat",200,8,0.30
"Milk whole",200,8,0.15
"Coffee creamer full fat",10,7,0.50
"Milk condensed w sugar",15,4,0.60
"Custard vanilla full fat",150,7,0.30
"Yoghurt low fat w fruit",200,8,0.35
"Coffee creamer half fat",10,8,0.50
"Milk semi-skimmed",200,10,0.15
"Porridge oatmeal prepared w whole milk unsweetened",250,6,0.20
"Buttermilk",200,7,0.15
"Porridge buttermilk w wheat flour white",250,3,0.20
"Topping dessert powder w sugar Klop-Klop",15,4,1.20
"Coffee creamer low fat",10,6,0.50
"Coffee creamer",10,8,0.50
"Milk skimmed",200,6,0.15
"Milk skimmed dried",20,2,1.00
"Milk whole dried",20,2,1.20
"Milk human",200,1,0.00
"Porridge rice",200,4,0.25
"Cream whipping unprepared",30,8,0.60
"Yoghurt Bulgarian whole milk",200,4,0.35
"Yoghurt low fat",200,8,0.25
"Ice cream dairy av",100,7,0.80
"Cheese Swiss dried",30,3,2.00
"Quark low fat",150,8,0.30
"Quark half fat",150,6,0.35
"Quark full fat",150,7,0.40
"Oil peanut",15,5,0.60
"Butter unsalted",15,8,0.80
"Oil soya",15,3,0.40
"Lard",15,2,0.50
"Beef fat",15,3,0.60
"Oil sunflower seed",15,9,0.30
"Corned beef",30,4,1.00
"Pheasant whole raw",150,1,3.00
"Sausage Dutch Frikandel deep-fried in liquid fat",85,8,0.80
"Sausage smoked cooked av",100,8,1.20
"Croquette meat ragout deep-fried in liquid fat",70,8,1.00
"Ham smoked raw",30,6,1.80
"Turkey raw",125,5,1.20
"Liver ox boiled (processed meat product)",30,3,1.00
"Liver pork boiled (processed meat product)",30,3,1.00
"Liver pate",30,7,1.20
"Luncheon meat tinned",30,4,0.80
"Partridge raw",125,1,3.50
"Beef salted cooked",30,4,1.50
"Venison raw",125,2,3.00
"Beef smoke-dried",30,6,2.50
"Bacon fat smoked raw",30,5,1.20
"Processed meat products av",30,8,1.50
"Kipper smoked",100,3,1.20
"Shrimps Dutch boiled",50,5,3.00
"Herring fillet in tomato sauce tinned",100,4,1.00
"Herring salted",100,7,1.50
"Crab in water tinned",50,4,2.50
"Lobster boiled",100,1,5.00
"Mackerel raw",100,5,1.20
"Oysters",100,2,4.00
"Sardines/pilchards in oil tinned",100,4,1.00
"Liver haddock tinned",50,2,2.00
"Stockfish soaked",100,1,1.50
"Egg white chicken raw",30,6,0.40
"Spring roll deep-fried in vegetable oil",150,7,0.80
"Infant food meal 8 months",200,1,1.20
"Sugar castor brown",10,7,0.30
"Sugar castor white",10,6,0.25
"Sugar granulated",10,8,0.15
"Syrup Keukenstroop",20,8,0.40
"Syrup sugar",20,6,0.40
"Advocaat liqueur",30,4,1.50
"Juice apple",200,8,0.20
"Fruit juice drink redcurrent",200,5,0.25
"Gin Dutch red currant flavoured",35,3,2.50
"Fruit juice drink blackcurrant",200,6,0.25
"Juice redcurrant",200,4,0.30
"Beer old brown",300,4,0.30
"Beer pilsner",330,9,0.30
"Brandy",35,3,3.00
"Campari",35,2,3.00
"Gin Dutch lemon flavoured",35,3,2.50
"Cognac",35,3,4.00
"Soft drink w sugar w caffeine",250,8,0.20
"Juice grape",200,5,0.25
"Fruit juice drink raspberry",200,5,0.25
"Soft drink m sugar wo caffeine",250,8,0.20
"Gin young Dutch",35,5,2.00
"Gin old Dutch",35,4,2.20
"Liqueur 15-25 vol% alcohol",35,4,2.50
"Muscatel",100,2,1.50
"Port wine",50,5,1.50
"Rum",35,4,2.50
"Sherry",50,4,1.20
"Juice orange pasteurized",200,8,0.20
"Tomato juice",200,4,0.25
"Vermouth",50,3,1.50
"Brandy Dutch vieux",35,4,2.00
"Juice drink w sugar",200,7,0.20
"Whisky",35,5,3.50
"Wine red",150,8,0.80
"Wine white dry",150,8,0.80
"Softdrink w milk serum and sweetener Rivella",250,7,0.25
"Syrup apple rinse",20,7,0.40
"Sauce barbecue",20,6,0.50
"Stock cube",5,9,1.00
"Cocoa powder",5,7,1.00
"Chocolate milk",200,8,0.25
"Chocolate dark",30,8,1.20
"Chocolate flakes milk",15,8,1.00
"Chocolate butter",15,3,1.50
"Chocolate flakes dark",15,8,1.00
"Spread chocolate hazelnut",15,8,0.80
"Sauce cocktail/party/table 25% oil",20,6,0.60
"Gelatin",5,4,2.00
"Ginger stem in syrup tinned",15,3,1.50
"Yeast extract Marmite",5,2,2.00
"Coloured sprinkles fruit-flavoured",15,7,0.80
"Honey",15,7,0.80
"Spread chocolate dark",15,6,0.80
"Jam",15,8,0.50
"Chewing gum",3,7,2.00
"Chewing gum wo sugar",3,8,2.00
"Coconut bread sweetened sliced",15,5,0.80
"Sweets boiled",20,6,1.00
"Mayonnaise",20,9,0.50
"Peppermint",10,7,1.50
"Piccalilly",20,4,0.60
"Peanut butter",15,9,0.60
"Jam rose hip w vit C",15,3,0.80
"Salad cream 25% oil",20,6,0.50
"Toffees",20,5,1.20
"Ketchup tomato",20,8,0.40
"Fruit drink concentrate undiluted",20,8,0.60
"Spread sweet av",15,7,0.60
"Sauce for chips 25% oil",20,8,0.40
"Sauce for chips 35% oil",20,7,0.45
"Pancake homemade prepared w margarin",150,8,0.30
"Cream slice Dutch Tompouce",100,7,1.20
"Pork Chinese style Babi pangang wo rice",150,8,1.50
"Chinese noodle dish Bami goreng wo egg",250,8,0.80
"Fried rice Nasi goreng w egg",250,8,0.80
"Chop-suey Indonesian wo rice",200,6,1.00
"Foe jung hai filled omelet wo rice",150,6,1.20
"Doughnut Dutch style filled w currants and raisins",80,6,1.00
"Liver chicken raw",100,4,0.80
"Buttermilk w fruit",200,5,0.25
"Biscuit filled chocolate coated",25,8,1.00
"Biscuit shortbread Bastogne",20,8,1.00
"Sweets marshmallow type Spekkie",20,6,1.20
"Fruit spread reduced sugar",15,6,0.60
"Ice cream dairy/non dairy cornet w chocolate and nuts",100,8,1.20
"Flan w fruit filling",120,7,1.20
"Candybar Mars",50,8,1.50
"Blancmange powder instant chocolate",25,6,0.80
"Flan filled w rice pudding",120,6,1.00
"Fruit drink concentrate fruit mix w rose hip",20,6,0.60
"Fruit drink concentrate Roosvicee Fruitkracht Ferro",20,4,0.80
"Fruit drink concentrate Roosvicee Fruitkracht Pruimen",20,3,0.80
"Cheese Edam 40+",30,8,1.20
"Cheese Gouda 48+ av",30,10,1.20
"Cheese 20+ Leidse w cumin/Fries clove",30,5,1.30
"Cheese spread 48+ full fat",15,7,1.00
"Cheese spread 40+",15,7,1.00
"Cheese spread 20+",15,6,1.00
"Liquorice Dutch type salted",30,8,0.80
"Liquorice Dutch type double salted",30,6,0.80
"Liquorice Dutch type sweet",30,9,0.80
"Liquorice Stophoest",15,5,1.50
"M&M's chocolate",40,8,1.50
"Candybar Milky Way",40,7,1.50
"Candybar Bounty",50,7,1.50
"Candybar Snickers",50,8,1.50
"Bakery mix for pancakes",50,8,0.40
"Bakery mix for Dutch little pancakes poffertjes",50,7,0.50
"Blancmange chocolate",150,6,0.40
"Cocoa powder sweetened",15,7,0.80
"Rhubarb puree w sugar",100,5,0.60
"Sauce fruit for pudding",20,5,0.60
"Sauce chocolate for pudding",20,6,0.60
"Peanut butter w peanut pieces",15,8,0.70
"Peanuts coated",30,7,1.00
"Sauce tomato based shashlik",20,6,0.50
"Topping dessert w sugar whipped KlopKlop",20,4,1.00
"Cheese Camembert 45+",30,7,1.50
"Celery raw",100,5,0.40
"Celeriac raw",100,4,0.40
"Swede raw",100,2,0.30
"Kohlrabi raw",100,3,0.40
"Purslane raw",100,3,0.60
"Leek raw",100,8,0.35
"Swiss chard leaf raw",100,2,0.60
"Brussel sprouts raw",150,7,0.40
"Sausage frankfurter tinned",70,7,0.80
"Sausage luncheon meat",30,6,0.80
"Black pudding",50,2,1.00
"Candybar Nuts",50,6,1.50
"Sandwich spread original",15,7,0.60
"Salad Russian",50,6,0.80
"Ketchup hot chilli",15,7,0.50
"Ketchup curry",15,8,0.40
"Wheat bran",15,4,0.40
"Breakfast cereal All-Bran Plus Kellogg's",40,5,0.80
"Cheese Brie 50+",30,8,1.50
"Cocoa product powder Ovomaltine",15,3,1.20
"Crispbread gold-brown",20,6,0.80
"Water 0-50 mg calcium p litre",250,9,0.00
"Water 50-100 mg calcium p litre",250,9,0.00
"Water >100 mg calcium p litre",250,9,0.00
"Oil olive",15,9,0.80
"Salmon tinned",100,6,2.00
"Eel smoked",50,5,4.00
"Mackerel steamed",100,6,1.50
"Porridge non-dairy barley w raisins Bessola",150,4,0.40
"Oil Becel Blend Classic",15,7,0.60
"Oil safflower",15,2,0.80
"Oil corn",15,3,0.50
"Rice ball spiced frozen deep fried in vegetable oil",100,7,1.20
"Chinese noodle ball deep-fried in vegetable oil",100,8,1.20
"Peanut sauce ready-to-eat",50,8,0.60
"Cocktail snacks based on potatoes Nibb-it",30,7,1.20
"Cocktail snacks Wokkels",30,7,1.20
"Crisps potato straws av",30,7,1.20
"M&M's chocolate w peanuts",40,8,1.50
"Blancmange instant various flavours powder",25,5,0.80
"Popcorn plain popped wo oil",30,6,0.60
"Meringue cake Bokkenpootje",25,7,1.50
"Coconut flavoured cookies",20,6,1.00
"Biscuit Dutch Krakeling",20,6,1.00
"Biscuit muesli",20,6,1.00
"Salami sausage saveloy",30,8,1.20
"Bacon rasher streaky",30,7,1.20
"Liver sausage",30,8,0.80
"Bacon",30,8,1.20
"Pate",30,8,1.20
"Pork side cured and smoked",30,5,1.50
"Coffee prepared",150,10,0.50
"Tea prepared",150,10,0.20
"Cabbage red w apple pieces frozen boiled",200,7,0.35
"Spinach creamed frozen boiled",200,8,0.40
"Breakfast cereal Rice Krispies Kellogg's",40,5,0.80
"Cheese cottage",50,6,0.80
"Crispbakes Dutch wholemeal/multigrain",20,7,0.80
"Yoghurt drink",200,8,0.30
"Rice white boiled",200,8,0.25
"Pasta white av boiled",200,9,0.30
"Beans brown canned",150,7,0.40
"Juice grapefruit",200,4,0.30
"Plantain ripe raw",150,3,0.40
"Cassava raw",150,2,0.50
"Taro raw",150,1,0.60
"Yam raw",150,2,0.60
"Tannia raw",150,1,0.80
"Potato sweet raw",150,6,0.40
"Black nightshade raw",100,1,1.00
"Mustard leaves raw",100,1,0.80
"Antroewa raw",100,1,1.00
"Dagoe leaf raw",100,1,1.00
"Kaisoi raw",100,2,0.80
"Amaranth leaves raw",100,1,1.00
"Beans long yard Kousenband raw",100,5,0.60
"Okra raw",100,3,0.80
"Bottlegourd poeng",100,1,1.00
"Pumpkin raw",150,5,0.30
"Bitter gourd pods raw",100,2,0.80
"Tannia leaves raw",100,1,1.00
"Beans black eyed dried",75,3,0.50
"Peas split yellow/green dried",75,6,0.30
"Avocado",100,7,1.00
"Guava (pink fleshed)",100,2,1.20
"Lime",20,6,0.80
"Mango",150,7,0.80
"Papaya",150,3,1.00
"Tamarind",20,2,1.50
"Flour cassava",50,2,0.60
"Flour corn",50,4,0.30
"Cassava cake Bojo Surinam",100,3,1.20
"Beef salted raw Surinam",50,3,2.00
"Beef salted dried Surinam",30,2,3.00
"Shrimps salted dried",15,3,4.00
"Cod dried salted",50,3,2.50
"Shrimp paste trassie",5,5,2.00
"Rice brown raw",75,6,0.30
"Waffle syrup av",30,8,0.80
"Cheese Roquefort",30,5,2.50
"Cheese Saint Paulin/Port Salut",30,6,1.50
"Chocolate milk w hazelnuts",30,7,1.20
"Cheese Parmesan",15,8,2.50
"Cheese cream soft Mon Chou",30,7,1.00
"Cheese Limburger",30,2,1.50
"Cheese Gruyere",30,5,1.80
"Cheese Emmenthaler",30,6,1.50
"Cheese Cheddar",30,6,1.20
"Cheese Bluefort",30,4,1.80
"Chocolate w liqueur",20,4,2.00
"Cheese cream soft Boursin",30,8,1.50
"Mayonnaise low fat 40% oil",20,8,0.40
"Blancmange vanilla",150,7,0.40
"Potatoes mashed instant prepared average",200,6,0.30
"Mineral water sparkling and not sparkling av",250,8,0.15
"Flan filling tinned",100,5,0.60
"Marshmallows",30,6,1.00
"Liquorice allsorts",30,7,1.00
"Wine gum/ fruit gum",30,8,1.00
"Soup clear w vegetables and noodles",250,7,0.40
"Soup clear w meat (beef/chicken)",250,7,0.50
"Soup clear w vegetables",250,7,0.40
"Soup clear w meat (beef/chicken) and noodles",250,8,0.50
"Soup clear w meat (beef/chicken) and vegetables",250,8,0.50
"Soup clear w meat (beef/chicken) vegetables and noodles",250,8,0.50
"Soup thickened w vegetables",250,7,0.45
"Soup thickened w meat (beef/chicken)",250,7,0.55
"Soup main course w legumes wo meat",300,6,0.40
"Soup main course w legumes and meat",300,8,0.50
"Mousse chocolate home-made",100,7,0.80
"Sausage spiced and smoked",100,8,1.20
"Sausage w smoked bacon-bits",100,6,1.20
"Ham lean boiled",30,8,1.50
"Ham shoulder medium fat boiled",30,7,1.20
"Ragout w meat all types",150,6,1.00
"Goulash",200,6,1.20
"Cake butter Dutch Boterkoek",40,7,1.00
"Almond paste w egg",30,5,1.50
"Soup clear w noodles",250,6,0.35
"Soup thickened w meat (beef/chicken) and vegetables",250,8,0.50
"Sausage incl liver products av",30,7,1.00
"Soup vegetable based dried packet prep",250,7,0.20
"Soup meat based dried packet prepared",250,7,0.25
"Soup legume based dried packet prepared",250,5,0.25
"Soup vegetable based ready-to-eat",250,8,0.40
"Soup meat based ready-to-eat",250,8,0.50
"Soup legume based ready-to-eat",250,7,0.45
"Cheese sheep fresh",30,5,1.80
"Jagermeister herb liquor",35,5,2.50
"Fruit spread w sweetener",15,5,0.80
"Santen creamed coconut block",15,4,1.50
"Beef steak tartare spiced filet americain",30,8,1.50
"Pasta wholemeal raw",100,7,0.35
"Cream sour",30,7,0.60
"Plaice raw",125,6,2.00
"Fish fingers fried in sunflower oil",100,8,1.00
"Fish fingers unprepared",100,8,0.80
"Plaice fried",125,6,2.50
"White fish fillet in batter deep-fried in vegetable oil",125,7,1.80
"Cod boiled",125,7,2.50
"Cod raw",125,7,2.20
"Bloater fried",100,2,1.50
"Pepper black/white",1,9,4.00
"Mustard",10,8,0.50
"Nutmeg powder",1,8,5.00
"Cinnamon",1,8,3.50
"Cumin seed dried",1,6,3.00
"Cloves",1,5,4.00
"Chives fresh",5,7,2.50
"Garlic raw",5,9,1.00
"Chervil fresh",5,2,3.00
"Ginger root",5,6,1.50
"Apple strudel",100,5,1.20
"Cheesecake made w quark",120,6,1.50
"Shortbread",30,6,1.00
"Sesame seeds wo hull",10,6,1.50
"Beans soya dried",75,3,0.50
"Salt fortified w iodine",2,9,0.10
"Stock powder",5,8,1.00
"Snack sausage roll w bread dough frozen prepared in oven",80,7,0.80
"Salad dressing natural wo oil",30,6,0.40
"Candybar Twix",50,8,1.50
"Millet raw",75,3,0.40
"Grapefruit in syrup canned",100,4,0.60
"Fennel raw",150,4,0.60
"Vegetables mixed pickled Atjar tjampoer glass",50,7,0.50
"Sweet pepper pickled glass",50,4,0.80
"Salad celeriac",50,4,0.80
"Gado gado wo rice and wo egg",200,5,1.00
"Gateau fatless sponge w fruit & cream",100,6,1.80
"Biscuit spiced Speculaas w almond paste",40,8,1.00
"Rosti unprepared",150,6,0.50
"Madeira",50,2,1.50
"Gravy instant powder",5,7,1.50
"Seasoning flavoured liquid",10,7,1.00
"Seasoning flavoured powder",5,8,1.50
"Juice beetroot",200,3,0.40
"Milkshake w fresh fruit",250,5,0.60
"Yoghurt full fat w fruit",200,8,0.35
"Satay chicken w peanut sauce prepared",150,8,1.50
"Sweets fruit pectinbased",20,6,1.20
"Linseeds",10,6,0.80
"Flour soya",50,2,0.60
"Drink soya wo sugar",200,5,0.25
"Miso soya paste",15,4,2.00
"Sunflower seeds",20,6,1.00
"Biscuit w currants Liga Evergreen",30,7,0.80
"Apple w skin av",150,9,0.25
"Peanuts salted",30,8,0.80
"Croissants canned baked",50,6,0.80
"Butter salted",15,7,0.80
"Fat for gravy unprepared Smeltjus",15,6,0.60
"Cheese Kernhem 60+",30,5,1.80
"Cheese Old Amsterdam 48+",30,8,2.00
"Sweet pepper red raw",100,9,0.60
"Sweet pepper red boiled",100,7,0.60
"Satay pork w peanut sauce prepared",150,7,1.50
"Vol -au-vent shell made w butter",30,6,1.50
"Vol -au-vent shell wo butter",30,5,1.20
"Snack sausage roll w bread dough pastry",80,8,1.00
"Forcemeat balls for soup canned",50,7,0.80
"Blancmange raspberry w red currant sauce",150,5,0.50
"Quark half fat w fruit",150,6,0.40
"Plaice boiled",125,4,2.00
"Pollock (Atlantic) boiled",125,5,1.50
"Broccoli boiled",200,9,0.40
"Broccoli raw",150,6,0.40
"Courgettes raw",150,7,0.50
"Juice pear",200,4,0.35
"Cake Dutch spiced Ontbijtkoek wholemeal",40,7,0.60
"Cheese 20+ low sodium",30,3,1.50
"Cheese 40+ low sodium",30,3,1.50
"Chocolate milk sugar-free",200,4,0.30
"Wine medicinal pleegzusterbloedwijn",50,1,1.50
"Quark low fat w fruit",150,8,0.40
"Blancmange semolina w red currant sauce",150,4,0.40
"Blancmange vanilla w strawberry sauce",150,6,0.40
"Croquette Dutch Bitterbal prepared in oven",50,7,1.20
"Croquette meat ragout prepared in oven",70,7,1.20
"Rosti prepared wo fat",150,6,0.60
"Yeast fresh",10,3,0.80
"Beans French boiled",200,8,0.45
"Kale curly frozen boiled",200,8,0.35
"Peas frozen boiled",150,8,0.40
"Beans French frozen boiled",150,7,0.40
"Asparagus white boiled",200,6,1.50
"Beetroot boiled",150,7,0.30
"Kale curly raw",150,4,0.35
"Salsify boiled",150,2,0.80
"Beans runner boiled",200,6,0.45
"Beans broad boiled",200,5,0.50
"Peas fresh boiled",150,7,0.50
"Mange-tout boiled",150,5,1.00
"Courgettes boiled",150,8,0.45
"Fennel boiled",150,4,0.60
"Peas marrowfat boiled",150,5,0.40
"Lentils green and brown boiled",150,6,0.40
"Beans soya boiled",150,3,0.40
"Peas green boiled",150,6,0.40
"Crispbread sesame",20,7,0.80
"Crispbread lightweight",20,6,0.90
"Sports food energy bar Isostar",40,3,2.50
"Potatoes wo skin boiled av",200,9,0.20
"Soup vegetable based low sodium prepared",250,4,0.40
"Pomegranate",100,5,1.00
"Dairy dessert w cream",150,7,0.60
"Figs fresh",50,4,1.50
"Rye bread wholemeal low sodium",50,2,0.60
"Bread crumbs",15,8,0.30
"Rice brown boiled",200,6,0.30
"Bulgur wheat raw",75,6,0.35
"Wheat rye bread wholemeal",70,6,0.45
"Rye flakes",40,3,0.40
"Buckwheat groats",75,2,0.50
"Flour wheat self-raising",50,8,0.25
"Artichoke raw",150,3,1.00
"Cripsbakes Dutch low sodium",20,3,0.90
"Flour rice fortified w vit B1",50,2,0.40
"Yeast dried",7,6,1.50
"Kiwi fruit green",100,8,0.60
"Kaki / Sharon fruit",100,5,0.80
